@category הגוף והרגשות

# ── הראש ─────────────────────────────────────────────────────────────────────
head | ראש | face | neck | hair | forehead | brain
face | פנים | head | cheek | forehead | chin | nose
forehead | מצח | face | cheek | chin | eyebrow | head
cheek | לחיה | chin | forehead | face | nose | lip
chin | סנטר | cheek | forehead | lip | face | neck
eye | עין | eyebrow | eyelash | nose | ear | mouth
eyebrow | גבה | eyelash | eye | forehead | cheek | hair
eyelash | ריס | eyebrow | eye | hair | forehead | cheek
nose | אף | mouth | ear | eye | cheek | lip
mouth | פה | lip | tongue | tooth | nose | chin
lip | שפה | mouth | tongue | tooth | cheek | chin
tooth | שן | tongue | lip | mouth | taste | chin
tongue | לשון | tooth | lip | mouth | taste | voice
ear | אזן | eye | nose | cheek | head | neck
hair | שער | head | eyebrow | eyelash | neck | face
neck | צואר | head | shoulder | chin | face | back

# ── ידיים ורגליים ────────────────────────────────────────────────────────────
shoulder | כתף | arm | neck | elbow | back | chest
arm | זרוע | shoulder | elbow | hand | muscle | leg
elbow | מרפק | arm | shoulder | knee | hand | muscle
body | גּוּף | head | arm | leg | back | skin
hand | יד | finger | arm | elbow | thumb | body
palm | כף יד | finger | thumb | arm | body | elbow
finger | אצבע | thumb | nail | hand | body | leg
thumb | אגדל | finger | nail | palm | leg | thigh
nail | צפרן | finger | thumb | palm | skin | leg
leg | רגל | knee | thigh | ankle | heel | nail
thigh | ירך | leg | knee | belly | back | nail
knee | ברך | leg | thigh | ankle | elbow | heel
ankle | קרסל | heel | knee | foot | thigh | nail
heel | עקב | ankle | foot | knee | thigh | chest
foot | כף רגל | heel | ankle | chest | knee | back
toe | אצבע רגל | nail | heel | thumb | chest | back

# ── הגוף מבפנים ──────────────────────────────────────────────────────────────
chest | חזה | back | belly | shoulder | rib | heart
back | גב | chest | shoulder | spine | belly | neck
belly | בטן | chest | navel | back | thigh | hunger
navel | טבור | belly | chest | back | skin | thigh
bone | עצם | rib | spine | muscle | skin | knee
rib | צלע | bone | spine | chest | muscle | back
spine | עמוד שדרה | bone | rib | back | muscle | neck
muscle | שריר | bone | strength | arm | leg | rib
skin | עור | nail | hair | bone | muscle | scratch
blood | דם | heart | pulse | wound | skin | breath
heart | לב | blood | pulse | brain | breath | chest
brain | מח | heart | head | dream | thought | blood
thought | מַחְשָׁבָה | brain | dream | secret | curiosity | memory
memory | זִכָּרוֹן | thought | brain | dream | secret | time

# ── חושים ────────────────────────────────────────────────────────────────────
sight | רְאִיָּה | hearing | smell | taste | touch | eye
hearing | שְׁמִיעָה | sight | voice | smell | ear | touch
smell | רֵיחַ | taste | sight | hearing | nose | touch
taste | טַעַם | smell | tongue | mouth | sight | touch
touch | מַגָּע | smell | taste | hearing | hand | skin
voice | קוֹל | hearing | laughter | crying | mouth | tongue

# ── מה שהגוף עושה ────────────────────────────────────────────────────────────
smile | חִיּוּךְ | laughter | joy | kiss | hug | tear
laughter | צְחוֹק | smile | joy | voice | tickle | crying
crying | בְּכִי | tear | sadness | laughter | voice | pain
tear | דִּמְעָה | crying | sadness | smile | eye | pain
kiss | נְשִׁיקָה | hug | smile | love | tickle | laughter
hug | חִבּוּק | kiss | love | smile | tickle | hand
tickle | דִּגְדּוּג | laughter | hug | kiss | smile | touch
breath | נְשִׁימָה | pulse | heart | sleep | yawn | blood
pulse | דֹּפֶק | heart | breath | blood | strength | rest
sleep | שֵׁנָה | rest | yawn | dream | tiredness | breath
yawn | פִּהוּק | sleep | tiredness | rest | breath | boredom
rest | מְנוּחָה | sleep | tiredness | yawn | patience | quiet
hunger | רָעָב | thirst | belly | taste | tiredness | pain
thirst | צָמָא | hunger | taste | tongue | tiredness | pain
strength | כֹּחַ | muscle | courage | pulse | body | age
sense | חוּשׁ | sight | hearing | smell | taste | touch
age | גִּיל | time | strength | birthday | family | memory

# ── כשלא מרגישים טוב ─────────────────────────────────────────────────────────
pain | כְּאֵב | wound | scratch | bruise | sick | crying
