# id | צמד מילים | דבר קשור | מאפיין
#
# pair    — מילה מופשטת שנקשרת מיד, ולא חיה ולא איבר (אלה הרמזים)
# related — חפץ או מקום מקטגוריה אחרת, שנמצא לְיָדוֹ
# trait   — תכונה אחת שמתאימה גם לעוד כמה מילים בקטגוריה
cow | רֶפֶת | דְּלִי | מְגָרֶרֶת
calf | גְּדִילָה | חַלְבּוֹן בְּבַקְבּוּק | נִצְמָד לְאִמּוֹ
horse | עֲבוֹדָה | אֻכָּף | דּוֹהֵר
foal | רַכּוּת | חֶבֶל אִלּוּף | רַגְלַיִם אֲרֻכּוֹת
donkey | מַשָּׂא | סַל קָשׁוּר | עַקְשָׁן
sheep | סְרִיגָה | מִכְלָאָה | מְלֻפָּף
lamb | עֲדִינוּת | פַּעֲמוֹן קָטָן | נִצְמָד לְאִמּוֹ
goat | הַרְפַּתְקָה | חֶבֶל קָשׁוּר | מְנַתֵּר
kidgoat | שׁוֹבְבוּת | חָצֵר | שׁוֹבָב
pig | בֹּץ | שֹׁקֶת | מִתְגַּלְגֵּל בַּלִּכְלוּךְ
bull | חֹזֶק | בַּד אָדֹם | נִרְגָּז בְּקַלּוּת
rooster | הַשְׁכָּמָה | לוּל | מְעוֹרֵר
hen | לוּל | קַשׁ | מְקַרְקֶרֶת
chick | הַתְחָלָה | קְלִפָּה שְׁבוּרָה | צָהֹב וּפָעוּט
duck | אֲגַם | לֶחֶם יָבֵשׁ | מִתְנוֹדֵד בַּהֲלִיכָה
goose | שְׁמִירָה | כָּרִית | צַוָּאר אָרֹךְ
turkey | חָצֵר גְּדוֹלָה | גָּדֵר | מִתְנַפֵּחַ כְּשֶׁכּוֹעֵס
dog | נֶאֱמָנוּת | רְצוּעָה | מְחַכֶּה בַּדֶּלֶת
puppy | הִתְלַהֲבוּת | כַּדּוּר קָטָן | מְלַקֵּק
cat | עַצְמָאוּת | פְּקַעַת חוּטִים | צוֹעֵד בְּשֶׁקֶט
kitten | פִּנּוּק | קַרְטוֹן | סַקְרָן
rabbit | מְהִירוּת | כְּלוּב | אָזְנַיִם זְקוּפוֹת
hyrax | סְלָעִים | חֲרִיץ בַּאֶבֶן | מִתְחַמֵּם בַּשֶּׁמֶשׁ
mouse | פְּחָדִים | מַלְכֹּדֶת | זָרִיז וְקָטָן
goldfish | אַקְוַרְיוּם | קְעָרָה | שָׁקֵט
parrot | חִקּוּי | כְּלוּב | חַקְיָן
lion | מְלוּכָה | סַוַנָּה | שׁוֹאֵג
leopard | צַיָּד | עֵץ גָּבוֹהַּ | מְנֻקָּד
cheetah | מְהִירוּת | שָׂדֶה פָּתוּח | הַמָּהִיר בַּיַּבָּשָׁה
bear | דְּבַשׁ | מְעָרָה | יָשֵׁן בַּחֹרֶף
wolf | לְהָקָה | יָרֵחַ מָלֵא | מְיַלֵּל בַּלַּיְלָה
fox | פִּקְחוּת | לוּל פָּרוּץ | עַרְמוּמִי
jackal | חֲשֵׁכָה | פַּח אַשְׁפָּה | מְיַלֵּל בַּלַּיְלָה
hyena | חֲשֵׁכָה | שְׁאֵרִיּוֹת | נִשְׁמָע צוֹחֵק
gazelle | קַלּוּת | גָּדֵר נְמוּכָה | קַל רֶגֶל
deer | יְעָרוֹת | שֶׁלֶג | מִסְתָּעֵף לְמַעְלָה
monkey | שׁוֹבְבוּת | חֶבֶל | מְטַפֵּס
gorilla | כֹּחַ | חָבִית | עָצוּם וְשָׁקֵט
chimp | לְמִידָה | מַקֵּל | לוֹמֵד מַהֵר
elephant | זִכָּרוֹן | חָבִית מַיִם | הַגָּדוֹל בַּיַּבָּשָׁה
rhino | שִׁרְיוֹן | שְׁלוּלִית בֹּץ | עוֹר עָבֶה
hippo | נָהָר | בֹּץ | פֶּה עֲנָקִי
giraffe | גֹּבַהּ | עָלִים בַּצַּמֶּרֶת | מַגִּיעַ גָּבוֹהַּ
zebra | אַפְרִיקָה | סַוַנָּה | רָץ בְּעֵדֶר
camel | מִדְבָּר | שַׂק מַיִם | סוֹבֵל צָמָא
kangaroo | קְפִיצוֹת | כִּיס | קוֹפֵץ רָחוֹק
koala | שֵׁנָה | עֵץ אֵקָלִיפְּטוּס | יָשֵׁן הַרְבֵּה
panda | סִין | קָנֶה סוּף | כָּבֵד וְאִטִּי
squirrel | אֲגִירָה | חֹר בָּעֵץ | אוֹגֵר אֹכֶל
hedgehog | הִתְגּוֹנְנוּת | עָלִים יְבֵשִׁים | מִתְכַּדֵּר כְּשֶׁמְּפַחֵד
bat | הִתְהַפְּכוּת | מְעָרָה | תָּלוּי הָפוּךְ
dove | שָׁלוֹם | חַלּוֹן | הוֹמָה בַּבֹּקֶר
crow | פִּקְחוּת | פַּח | שָׁחֹר וְרַעֲשָׁן
sparrow | חַלּוֹן | פֵּרוּרִים | קְטַנְטַן וְזָרִיז
wagtail | חֹרֶף | דֶּשֶׁא | מְנַעֵר זָנָב
hoopoe | סֵמֶל הַמְּדִינָה | שֶׁלֶט טֶבַע | כֶּתֶר נוֹצוֹת
eagle | חֵרוּת | צוּק | דּוֹאֶה גָּבוֹהַּ
falcon | דִּיּוּק | כְּפָפַת עוֹר | צוֹלֵל מָהִיר
owl | חָכְמָה | עֵץ בַּחֲשֵׁכָה | עֵר בַּלַּיְלָה
peacock | גַּאֲוָה | גַּן חַיּוֹת | פּוֹרֵשׂ וּמַרְאֶה
penguin | קֹר | קֶרַח | לֹא עָף
stork | הַגָּעָה | אֲרֻבָּה | מַקּוֹר אָרֹךְ
swan | חֵן | אֲגַם | אָצִיל וְשָׁקֵט
seagull | נָמָל | שַׂקִּית אֹכֶל | חוֹטֵף מֵהַיָּד
fish | חַכָּה | אַקְוַרְיוּם | נוֹשֵׁם בְּמַיִם
shark | סַכָּנָה | סִירָה | שִׁנַּיִם חַדּוֹת
dolphin | חָכְמָה | חִשּׁוּק | קוֹפֵץ מֵהַמַּיִם
whale | עֲנָקִיּוּת | אֳנִיָּה | עֲנָק בַּיָּם
seal | קֶרַח | כַּדּוּר | מוֹחֵא כַּפַּיִם
otter | נַחַל | אֶבֶן | שׂוֹחֶה בַּנַּחַל
octopus | הִסְתָּרָה | דְּיוֹ | מַחְלִיף צֶבַע
crab | חוֹל | חוֹל רָטֹב | הוֹלֵךְ הַצִּדָּה
starfish | חוֹף | אַקְוַרְיוּם | חָמֵשׁ זְרוֹעוֹת
jellyfish | צְרִיבָה | מַצִּיל | שָׁקוּף
seashell | אִסּוּף | אֹזֶן | מַצְמִידִים לָאֹזֶן
seahorse | פֶּלֶא | אַקְוַרְיוּם | זָנָב מִסְתַּלְסֵל
snake | פַּחַד | סַל | מִתְפַּתֵּל
lizard | קִיר | סֶלַע חַם | מַשִּׁיר זָנָב
chameleon | הַסְתָּרָה | עָנָף | מַחְלִיף צֶבַע
turtle | אִטִּיּוּת | קְעָרַת מַיִם | אִטִּי וּמְשֻׁרְיָן
crocodile | נָהָר | סִירָה | לְסָתוֹת עֲנָקִיּוֹת
frog | גֶּשֶׁם | עֲלֵה נוּפָר | מְקַרְקֵר בַּלַּיְלָה
toad | שְׁלוּלִית | אֲדָמָה רְטֻבָּה | עוֹר מְחֻסְפָּס
tadpole | הִתְפַּתְּחוּת | שְׁלוּלִית | מִשְׁתַּנֶּה
ant | חֲרִיצוּת | פֵּרוּר | חֲרוּצָה
bee | דְּבַשׁ | פְּרָחִים | מְזַמְזֶמֶת
butterfly | שִׁנּוּי | גֹּלֶם | כְּנָפַיִם צִבְעוֹנִיּוֹת
ladybug | מַזָּל | עָלֶה | קְטַנָּה וַאֲדֻמָּה
beetle | שִׁרְיוֹן | גֶּזַע | קָשֶׁה וּמַבְרִיק
mosquito | גֵּרוּד | כִּלָּה | מְעִיר בַּלַּיְלָה
fly | קַיִץ | חַלּוֹן | קָשֶׁה לִתְפֹּס
spider | קוּרִים | פִּנָּה בַּתִּקְרָה | שְׁמוֹנֶה רַגְלַיִם
scorpion | זְהִירוּת | אֶבֶן | מִסְתַּתֵּר וּמַרְעִיל
grasshopper | קְפִיצָה | דֶּשֶׁא | קוֹפֵץ רָחוֹק
cricket | קוֹל בַּחֲשֵׁכָה | חַלּוֹן פָּתוּח | מַשְׁמִיעַ בַּלַּיְלָה
snail | אִטִּיּוּת | עָלֶה | אִטִּי מְאֹד
worm | אֲדָמָה | מַעְדֵּר | רַךְ וְאָרֹךְ
tail | נִפְנוּף | מִבְרֶשֶׁת | מְנַפְנֵף
wing | תְּעוּפָה | מָטוֹס | נִפְרֶשֶׂת וְנִסְגֶּרֶת
feather | קַלּוּת | כָּרִית | קַלָּה מְאֹד
beak | נִקּוּר | פֵּרוּרִים | קָשֶׁה וּמְחֻדָּד
fur | חֲמִימוּת | מִבְרֶשֶׁת | רַכָּה לְלִטּוּף
mane | הָדָר | מַסְרֵק | סְבִיב הַצַּוָּאר
horn | נַגָּח | גָּדֵר | קָשָׁה וּמְחֻדֶּדֶת
elephant-trunk | שְׁאִיבָה | שְׁלוּלִית | אָרֹךְ וְגָמִישׁ
nest | בַּיִת | עֵץ | עָגֹל וְגָבוֹהַּ
beehive | מְתִיקוּת | מַסֵּכַת הֲגָנָה | מְזַמְזֶמֶת מִבַּחוּץ
den | מַחְבּוֹא | פָּנָס | חֲשׁוּכָה וַחֲמִימָה
cub | הוֹרוּת | חָלָב | קָטָן וְשׁוֹבָב
