# id | צמד מילים | דבר קשור | מאפיין
#
# pair    — מילה מופשטת או פעולה, ולא מילה מאותה קטגוריה
# related — חפץ מקטגוריה אחרת שנמצא לְיָדוֹ
# trait   — תכונה אחת שמתאימה גם לעוד כמה מילים, ולא הגדרה
head | חֲשִׁיבָה | כּוֹבַע | עָגֹל וּלְמַעְלָה
face | זִהוּי | מַרְאָה | מַסְגִּירוֹת רְגָשׁוֹת
forehead | חֹם | מַדְחוֹם | חָלָק וְרָחָב
cheek | פִּנּוּק | מִגְבּוֹן | מִתְאַדֶּמֶת מִבּוּשָׁה
chin | בְּלִיטָה | מַגֶּבֶת | מִתְלַכְלֵךְ בַּאֲכִילָה
eye | הִסְתַּכְּלוּת | מִשְׁקָפַיִם | נֶעֱצֶמֶת בַּשֵּׁנָה
eyebrow | הַבָּעָה | מַרְאָה | קֶשֶׁת מֵעַל
eyelash | מִצְמוּץ | מַרְאָה | דַּק וּמְעֻקָּל
nose | הִצְטַנְנוּת | מִמְחָטָה | בּוֹלֵט בָּאֶמְצַע
mouth | דִּבּוּר | מִבְרֶשֶׁת | נִפְתָּח וְנִסְגָּר
lip | מִלִּים | קְרֶם | מִתְיַבֶּשֶׁת בַּחֹרֶף
tooth | נְשִׁיכָה | כָּרִית | נוֹפֶלֶת וּמִתְחַדֶּשֶׁת
tongue | לְקִיקָה | גְּלִידָה | רְטֻבָּה וּוְרֻדָּה
ear | הַקְשָׁבָה | עָגִיל | שְׁתַּיִם בַּצְּדָדִים
hair | תַּסְרֹקֶת | מִבְרֶשֶׁת | גָּדֵל תָּמִיד
neck | סִבּוּב | צָעִיף | מְחַבֵּר וְגָמִישׁ
shoulder | נְשִׂיאָה | תַּרְמִיל | רְחָבָה וַחֲזָקָה
arm | הֲרָמָה | שַׁרְווּל | מִתְקַפֶּלֶת בָּאֶמְצַע
elbow | כִּפּוּף | שֻׁלְחָן | חַד וְקָשֶׁה
body | גְּדִילָה | מִשְׁקָל | הַכֹּל יַחַד
hand | נְתִינָה | כְּפָפָה | מְנוֹפֶפֶת לְשָׁלוֹם
palm | טְפִיחָה | סַבּוֹן | פְּנִימִית וַחֲלָקָה
finger | הַצְבָּעָה | טַבַּעַת | דַּקָּה וַאֲרֻכָּה
thumb | אִשּׁוּר | חוֹתֶמֶת | קָצָר וְעָבֶה
nail | קִצּוּץ | מִסְפָּרַיִם | קָשָׁה וּגְדֵלָה
leg | הֲלִיכָה | נַעַל | נוֹשֵׂאת הַכֹּל
thigh | רִיצָה | מִכְנָס | הֶחָלָק הֶעָבֶה
knee | כְּרִיעָה | מִכְנָס קָרוּעַ | נִפְגַּעַת בִּנְפִילָה
ankle | נֶקַע | גֶּרֶב | דַּק וּמִסְתּוֹבֵב
heel | דְּרִיכָה | נַעַל | קָשֶׁה וּמֵאָחוֹר
foot | עֲמִידָה | סַנְדָּל | שְׁטוּחָה וְנוֹשֵׂאת
toe | בְּעִיטָה | גֶּרֶב | קְטַנְטַנָּה וּמְכֻוֶּצֶת
chest | אֲוִיר | חֻלְצָה | רָחָב וּמֵגֵן
back | יְשִׁיבָה | כִּסֵּא | יָשָׁר וְרָחָב
belly | אֲרוּחָה | חֲגוֹרָה | מִתְמַלֵּאת וּמִתְרוֹקֶנֶת
navel | תִּינוֹק | חִתּוּל | קְטַנְטַן וּבָאֶמְצַע
bone | שֶׁלֶד | צִלּוּם | קָשָׁה וּלְבָנָה
rib | הֲגָנָה | צִלּוּם | מַקִּיפָה וּמְעֻקֶּלֶת
spine | יְשִׁיבָה זְקוּפָה | כִּסֵּא | חֻלְיוֹת רַבּוֹת
muscle | מִשְׁקוֹלוֹת | חֻלְצָה קְצָרָה | מִתְנַפֵּחַ בְּמַאֲמָץ
skin | לִטּוּף | קְרֶם | מְכַסֶּה הַכֹּל
blood | בְּדִיקָה | מַזְרֵק | אָדֹם וְנוֹזֵל
heart | קֶצֶב | רוֹפֵא | פּוֹעֵם תָּמִיד
brain | חָכְמָה | קַסְדָּה | מְנַהֵל הַכֹּל
thought | דִּמְיוֹן | מַחְבֶּרֶת | בִּלְתִּי נִרְאֵית
memory | פַּעַם | אַלְבּוֹם | נִשְׁמָר שָׁנִים
sight | צֶבַע | מִשְׁקָפַיִם | תְּלוּיָה בָּאוֹר
hearing | רַעַשׁ | פַּעֲמוֹן | פּוֹעֶלֶת בַּחֲשֵׁכָה
smell | בֹּשֶׂם | פֶּרַח | מְעוֹרֵר זִכָּרוֹן
taste | מֶלַח | כַּפִּית | מָתוֹק וְחָמוּץ
touch | קְטִיפָה | כְּפָפָה | רַךְ וּמְחֻסְפָּס
voice | דִּבּוּר | מִיקְרוֹפוֹן | מְזַהִים בַּטֶּלֶפוֹן
smile | נִימוּס | מַצְלֵמָה | מְדַבֵּק אֲחֵרִים
laughter | בְּדִיחָה | נוֹצָה | קָשֶׁה לַעֲצֹר
crying | צַעַר | מִמְחָטָה | גַּם מִשִּׂמְחָה
tear | מְלִיחוּת | מִמְחָטָה | קְטַנָּה וּשְׁקוּפָה
kiss | פְּרִידָה | לַיְלָה טוֹב | קְצָרָה וְחַמָּה
hug | נִחוּם | שְׂמִיכָה | מְחַמֵּם בְּשֶׁקֶט
tickle | מִשְׂחָק | נוֹצָה | בְּלִי שְׁלִיטָה
breath | אֲוִיר | בַּלּוֹן | פְּנִימָה וְהַחוּצָה
pulse | קֶצֶב | שָׁעוֹן | מַהִיר בְּרִיצָה
sleep | לַיְלָה | כָּרִית | שְׁמוֹנֶה שָׁעוֹת
yawn | שִׁעוּר אָרֹךְ | כָּרִית | מְדַבֵּק אֲחֵרִים
rest | סוֹף שָׁבוּעַ | סַפָּה | בְּלִי כְּלוּם
hunger | אֲרוּחָה | צַלַּחַת | קָשֶׁה לְהִתְרַכֵּז
thirst | קַיִץ | בַּקְבּוּק | הַפֶּה מִתְיַבֵּשׁ
strength | מִשְׁקוֹלוֹת | חֶבֶל | מֵרִים כָּבֵד
sense | חֲמִשָּׁה | מַרְאָה | דֶּרֶךְ לְהַכִּיר
age | מִסְפָּר | עוּגָה | רַק עוֹלֶה
pain | דְּמָעוֹת | רוֹפֵא | סִימַן אַזְהָרָה
wound | זְהִירוּת | מִדְרָכָה | נִסְגָּר לְאַט
scratch | חָתוּל | מִגְבּוֹן | דַּקָּה וְשִׁטְחִית
bruise | מַכָּה | קֶרַח | מַחְלִיפָה צֶבַע
bandaid | הַקָּלָה | קֻפְסָה | קָטָן וְדָבִיק
bandage | עֲטִיפָה | מִסְפָּרַיִם | מִתְלַפֶּפֶת סָבִיב
cast | שֶׁבֶר | טוּשׁ | קָשֶׁה וְיָבֵשׁ
sick | מִטָּה | תֵּה | נִשְׁאָר בַּבַּיִת
healthy | רִיצָה | סָלָט | קָם וּמְשַׂחֵק
cough | גָּרוֹן | סִירוֹפּ | חוֹזֵר וְנִשְׁנֶה
sneeze | אָבָק | מִמְחָטָה | פִּתְאוֹמִי וְרַעֲשָׁן
runnynose | חֹרֶף | חֲבִילַת טִישׁוּ | מַפְרִיעָה לִנְשֹׁם
medicine | רוֹפֵא | כַּפִּית | מָרָה וְעוֹזֶרֶת
injection | רוֹפֵא | צֶמֶר גֶּפֶן | מַפְחִידָה לְרֶגַע
vaccine | מִרְפָּאָה | מַדְבֵּקָה | מוֹנֵעַ מַחֲלָה
joy | מְסִבָּה | בַּלּוֹנִים | קַלָּה וּמִתְפָּרֶצֶת
happiness | מַתָּנָה | תְּמוּנָה | נִמְשָׁךְ זְמַן
pleasure | גְּלִידָה | סַפָּה | נְעִימָה וּקְצָרָה
excitement | לִפְנֵי טִיּוּל | מִזְוָדָה | דֹּפֶק מָהִיר
surprise | מַתָּנָה | קֻפְסָה סְגוּרָה | פִּתְאוֹמִית
love | חֲתוּנָה | מִכְתָּב | חַמָּה וּגְדוֹלָה
friendship | נֶאֱמָנוּת | מִשְׂחָק מְשֻׁתָּף | נִבְנֵית לְאַט
family | בַּיִת | אַלְבּוֹם | תָּמִיד שֶׁלְּךָ
pride | תְּעוּדָה | מֶדַלְיָה | הַגַּב מִתְיַשֵּׁר
courage | קְפִיצָה לַמַּיִם | סֻלָּם | לֹא נִרְתָּע
hope | מָחָר | נֵר | מַחְזִיקָה כְּשֶׁקָּשֶׁה
dream | לַיְלָה | כָּרִית | מִטַּשְׁטֵשׁ בַּבֹּקֶר
