# id | צמד מילים | דבר קשור | מאפיין
#
# pair    — מילה מופשטת או פעולה, ולא מילה מאותה קטגוריה
# related — חפץ מקטגוריה אחרת שנמצא לְיָדוֹ
# trait   — תכונה אחת שמתאימה גם לעוד כמה מילים, ולא הגדרה
car | נְהִיגָה | מַפְתֵּחַ | אַרְבַּע דְּלָתוֹת
taxi | תַּשְׁלוּם | מוֹנֶה | צְהֻבָּה
bus | קַו | רַב קַו | הַרְבֵּה מוֹשָׁבִים
truck | הוֹבָלָה | אַרְגָּזִים | כָּבֵד וְאִטִּי
pickup | חַקְלָאוּת | אַרְגָּזִים | פָּתוּח מֵאָחוֹר
tractor | חֲרִישָׁה | שָׂדֶה | אִטִּי וְחָזָק
ambulance | חֵרוּם | אֲלוּנְקָה | צוֹפֶרֶת וּמְמַהֶרֶת
firetruck | שְׂרֵפָה | צִנּוֹר | אֲדֻמָּה וְגָדוֹלָה
policecar | חֹק | אוֹרוֹת מְהַבְהֲבִים | מְמַהֶרֶת לְאֵרוּעַ
tank | צָבָא | זְחָלִים | מְשֻׁרְיָן וְכָבֵד
motorcycle | קַסְדָּה | כְּפָפוֹת עוֹר | רוֹעֵשׁ וּמָהִיר
scooter | זְרִיזוּת | קַסְדָּה | קָטָן וְקַל
bicycle | דְּוִישָׁה | שַׁרְשֶׁרֶת | בְּלִי מָנוֹעַ
kickscooter | זְרִיזוּת | כִּידוֹן | מְקַפְּלִים וְנוֹשְׂאִים
cart | קְנִיּוֹת | מִטְבָּע לְשִׁחְרוּר | דּוֹחֲפִים אוֹתָהּ
wheelchair | נְגִישׁוּת | רַמְפָּה | מְסֻבָּב בַּיָּדַיִם
train | מְסִלָּה | שְׁרִיקָה | אָרֹךְ מְאֹד
lightrail | מֶרְכָּז | פַּסִּים בַּכְּבִישׁ | נוֹסַעַת בָּרְחוֹב
wagon | חִבּוּר | מְסִלָּה | מְחֻבָּר לְאַחֵר
cablecar | הַר | כַּבְלִים | תָּלוּי בָּאֲוִיר
elevator | קוֹמוֹת | כַּפְתּוֹרִים | עוֹלָה וְיוֹרֶדֶת
escalator | עֲלִיָּה קַלָּה | מַדְרֵגוֹת נָעוֹת | נָע לְבַדּוֹ
plane | טִיסָה | דַּרְכּוֹן | גָּבוֹהַּ מְאֹד
helicopter | רִחוּף | מְדַף מִסְתּוֹבֵב | נוֹחֵת בַּמָּקוֹם
hotairballoon | אֲוִיר חַם | סַל | עוֹלֶה לְאַט
ship | יָם | עֹגֶן | גָּדוֹל וְכָבֵד
boat | אֲגַם | מָשׁוֹט | קְטַנָּה וּמִתְנַדְנֶדֶת
yacht | עֹשֶׁר | סִפּוּן | לְבָנָה וִיקָרָה
ferry | מַעֲבָר | רַמְפָּה | נוֹשֵׂאת מְכוֹנִיּוֹת
submarine | מַעֲמַקִּים | חַלּוֹן עָגֹל | נוֹסַעַת מִתַּחַת
wheel | סִבּוּב | צִיר | עָגֹל וּמִסְתּוֹבֵב
tire | אֲוִיר | מַשְׁאֵבָה | שָׁחֹר וְגוּמִי
steeringwheel | כִּוּוּן | יָדַיִם | עָגֹל וּבַיָּדַיִם
pedal | רֶגֶל | נַעַל | לוֹחֲצִים בָּרֶגֶל
brake | עֲצִירָה | רַמְזוֹר אָדֹם | עוֹצֵר הַכֹּל
engine | הַתְנָעָה | שֶׁמֶן | מִתְחַמֵּם וְרוֹעֵשׁ
car-battery | בֹּקֶר קַר | כַּבְלִים | נִגְמָר בְּהַפְתָּעָה
fuel | תִּדְלוּק | מַשְׁאֵבָה | רֵיחַ חָזָק
headlight | חֲשֵׁכָה | מְנוֹרָה | מֵאִיר קִדְמָה
carhorn | אַזְהָרָה | פְּקָק | קוֹלִי וּמְעַצְבֵּן
seatbelt | בְּטִיחוּת | קְלִיק | נִמְתַּחַת וְנִנְעֶלֶת
road | אַסְפַלְט | קַו לָבָן | שָׁחֹר וְאָרֹךְ
lane | חֵץ | קַו מֻקְטָע | אֶחָד מִכַּמָּה
route | נִוּוּט | טֶלֶפוֹן | מִכָּאן לְשָׁם
bikelane | קַסְדָּה | סִמּוּן יָרֹק | צַר וְיָעוּד
sidewalk | הֲלִיכָה | אַבְנֵי שָׁפָה | מוּרָם מֵהַכְּבִישׁ
crosswalk | זְהִירוּת | פַּסִּים לְבָנִים | חוֹצִים עָלָיו
trafficlight | הַמְתָּנָה | שְׁלוֹשָׁה אוֹרוֹת | מִתְחַלֵּף לְסֵרוּגִין
roadsign | חֻקִּים | עַמּוּד | צִבְעוֹנִי וּמְמֻסְגָּר
bridge | מַעֲבָר | עַמּוּדִים | עוֹבֵר מֵעַל
interchange | צֹמֶת גָּדוֹל | שְׁלָטִים | מְבַלְבֵּל נַהָגִים
tunnel | הָר | תְּאוּרָה | עוֹבֵר מִתַּחַת
trafficjam | אִחוּר | צוֹפָרִים | לֹא זָז
street | כְּתֹבֶת | שֶׁלֶט | נוֹשֵׂא שֵׁם
square | מִפְגָּשׁ | יוֹנִים | פְּתוּחָה וּמֶרְכָּזִית
trip | מִזְוָדָה | מוּזִיקָה בָּרֶכֶב | לוֹקַחַת זְמַן
ticket | תַּשְׁלוּם | תֹּקֶף | קָטָן וּמְנֻקָּב
map | טִיּוּל | קִפּוּלִים | מַרְאֶה מִלְמַעְלָה
station | הַמְתָּנָה | לוּחַ זְמַנִּים | עוֹלִים וְיוֹרְדִים
busstop | קַו | סַפְסָל וְשֶׁלֶט | מְחַכִּים בָּהּ
airport | דַּרְכּוֹן | מִזְוָדוֹת | גָּדוֹל וְרַעֲשָׁן
port | מְכוֹלוֹת | מַנּוֹף | שָׁם עוֹגְנִים
parking | מָקוֹם פָּנוּי | סִמּוּן | מָלֵא רֶכֶב
gasstation | תִּדְלוּק | קִיּוֹסְק קָטָן | עוֹצְרִים לְרֶגַע
garage | תִּקּוּן | מַגְבֵּהַּ | רֵיחַ שֶׁמֶן
shop | קְנִיָּה | קֻפָּה | חַלּוֹן רַאֲוָה
mall | קוֹמוֹת | שַׂקִּיּוֹת | מְמֻזָּג וְגָדוֹל
supermarket | רְשִׁימַת קְנִיּוֹת | קֻפָּה | הַרְבֵּה מִסְדְּרוֹנוֹת
grocery | שְׁכֵנִים | דֶּלְפֵּק | קְטַנָּה וּשְׁכוּנָתִית
bakery | רֵיחַ בֹּקֶר | תַּנּוּר גָּדוֹל | פּוֹתַחַת מֻקְדָּם
kiosk | גַּזוֹז | חַלּוֹן קָטָן | קְטַנְטַן וּבָרְחוֹב
market | מִקּוּח | דּוּכָנִים | רַעֲשָׁן וְצִבְעוֹנִי
pharmacy | תְּרוּפָה | מַרְשָׁם | לָבָן וּמְסֻדָּר
restaurant | תַּפְרִיט | מֶלְצַר | יוֹשְׁבִים וְאוֹכְלִים
cafe | סֵפֶל | שֻׁלְחָנוֹת בַּחוּץ | קָטָן וְנָעִים
barbershop | תִּסְפֹּרֶת | כִּסֵּא מִסְתּוֹבֵב | מַרְאוֹת רַבּוֹת
laundry | כְּבִיסָה | מְכוֹנוֹת גְּדוֹלוֹת | חַם וּמְסֻבָּן
hospital | רוֹפְאִים | אֲלוּנְקָה | גָּדוֹל וְלָבָן
clinic | תּוֹר | חֶדֶר הַמְתָּנָה | קְטַנָּה וּשְׁכוּנָתִית
bank | חֶשְׁבּוֹן | כַּסֶּפֶת | שֶׁקֶט וּמְאֻבְטָח
atm | מְזֻמָּן | סִיסְמָה | עוֹמֵד בַּקִּיר
post | מִכְתָּב | בּוּל | תּוֹרִים אֲרֻכִּים
cityhall | הַחְלָטוֹת | דֶּגֶל | מְנַהֶלֶת עִיר
library | שֶׁקֶט | חוֹתֶמֶת | מַשְׁאִילָה חִנָּם
school | תַּלְמִידִים | יַלְקוּט | כִּתּוֹת וְחָצֵר
kindergarten | גִּיל שָׁלוֹשׁ | מִשְׂחָקִים | לַקְּטַנִּים
university | סְטוּדֶנְטִים | הַרְצָאָה | לַגְּדוֹלִים
museum | תַּעֲרוּכָה | שֶׁלֶט הֶסְבֵּר | אָסוּר לָגַעַת
theater | הַצָּגָה | מָסָךְ אָדֹם | אוּלָם חָשׁוּךְ
culturehall | מוֹפָע | כַּרְטִיסִים | גָּדוֹל וּמְכֻבָּד
cinema | פּוֹפְקוֹרְן | מָסָךְ עֲנָק | חָשׁוּךְ וְקָרִיר
clubhouse | חוּג | שְׁלָטִים | נִפְגָּשִׁים בּוֹ
hotel | חֻפְשָׁה | מִזְוָדָה | חֲדָרִים מְמֻסְפָּרִים
synagogue | תְּפִלָּה | סֵפֶר תּוֹרָה | שָׁקֵט וּמְקֻדָּשׁ
church | פַּעֲמוֹנִים | צְלָב | חַלּוֹנוֹת צִבְעוֹנִיִּים
mosque | צְרִיחַ גָּבוֹהַּ | שָׁטִיח | קוֹרְאִים מִלְמַעְלָה
tower | גֹּבַהּ | תַּצְפִּית | הַגָּבוֹהַּ בַּסְּבִיבָה
building | קוֹמוֹת | תֵּבַת מִכְתָּבִים | הַרְבֵּה דִּירוֹת
