# id | צמד מילים | דבר קשור | מאפיין
#
# pair    — מילה מופשטת או פעולה, ולא מילה מאותה קטגוריה
# related — חפץ מקטגוריה אחרת שנמצא לְיָדוֹ
# trait   — תכונה אחת שמתאימה גם לעוד כמה מילים, ולא הגדרה
clothes | לְבִישָׁה | אָרוֹן | רַכִּים וְנוֹחִים
shirt | גִּהוּץ | קוֹלָב | מְכֻפְתֶּרֶת
tshirt | קֵיטָנָה | הַדְפֵּס | קַלָּה וּקְצָרָה
tanktop | חֹם | שִׁזּוּף | בְּלִי שַׁרְווּלִים
sweater | סְרִיגָה | סַבְתָּא | חַם וְעָבֶה
hoodie | נֹעַר | שְׂרוֹכִים בַּצַּוָּאר | כִּיס גָּדוֹל
jacket | סְתָיו | מִזְוָדָה | פָּתוּח וְקַל
coat | קֹר | קוֹלָב | אָרֹךְ וְכָבֵד
raincoat | סוּפָה | שְׁלוּלִית | לֹא נִרְטָב
vest | שִׁכְבָה | טִיּוּל | בְּלִי שַׁרְווּלִים
suit | חֲתוּנָה | מִשְׂרָד | מְכֻבֶּדֶת וּמְגֻהֶצֶת
uniform | בֵּית סֵפֶר | סֵמֶל | זֵהִים לְכֻלָּם
robe | אַחֲרֵי מִקְלַחַת | מַגֶּבֶת | רַךְ וְעוֹטֵף
pajamas | לַיְלָה | מִיטָּה | רַכָּה וּנְעִימָה
tracksuit | אִמּוּן | מִשְׁרוֹקִית | גּוּמִי בַּמָּתְנַיִם
overall | פָּעוֹט | גַּן | חֲתִיכָה אַחַת
pants | לְבִישָׁה | כִּיסִים | שְׁתֵּי רַגְלַיִם
jeans | חֹזֶק | כִּיסִים אֲחוֹרִיִּים | כָּחֹל וְקָשֶׁה
shorts | קַיִץ | בְּרֵכָה | קַלִּים וּנְעִימִים
skirt | סְחוֹר סְחוֹר | רִקּוּד | מִתְנוֹפֶפֶת
dress | מְסִבָּה | תַּצְלוּם | חֲגִיגִית וַאֲרֻכָּה
tights | חֹרֶף | רַגְלַיִם | דַּקִּים וְנִמְתָּחִים
underwear | כְּבִיסָה | מְגֵרָה | הַשִּׁכְבָה הָרִאשׁוֹנָה
swimsuit | בְּרֵכָה | מַגֶּבֶת | נִרְטָב וּמִתְיַבֵּשׁ
shoes | הֲלִיכָה | מַדָּף בַּכְּנִיסָה | קָשׁוֹת מִלְּמַטָּה
sneakers | רִיצָה | מִגְרַשׁ | קַלּוֹת וְקוֹפְצוֹת
sandals | קַיִץ | חוֹל | פְּתוּחִים בָּאֶצְבָּעוֹת
boots | בֹּץ | גֶּשֶׁם | גְּבוֹהִים וַאֲטוּמִים
flipflops | חוֹף | בְּרֵכָה | רוֹעֲשִׁים בַּהֲלִיכָה
slippers | נוֹחוּת | רִצְפָּה קָרָה | רַכּוֹת וְחַמּוֹת
heels | חֲתוּנָה | תִּיק קָטָן | גְּבוֹהִים וְצָרִים
socks | כְּבִיסָה | מְכוֹנָה | רַכִּים וְחַמִּים
shoelace | קֶשֶׁר | לוּלָאָה | דַּק וְאָרֹךְ
hat | שֶׁמֶשׁ | קֵיטָנָה | עַל הָרֹאשׁ
cap | מִשְׂחָק | כַּדּוּר | מֵצֵל לָעֵינַיִם
kippah | בֵּית כְּנֶסֶת | בַּר מִצְוָה | קְטַנָּה וַעֲגֻלָּה
kerchief | רֹאשׁ | קֶשֶׁר | מְרֻבַּעַת וְקַלָּה
scarf | חֹרֶף | צַוָּאר | אָרֹךְ וְחַם
gloves | שֶׁלֶג | אֶצְבָּעוֹת | זוּג לַיָּדַיִם
crown | מֶלֶךְ | אַרְמוֹן | זָהָב נוֹצֵץ
mask | פּוּרִים | גּוּמִי | מַסְתִּירָה פָּנִים
costume | פּוּרִים | מִשְׁלוֹחַ מָנוֹת | לְיוֹם אֶחָד
glasses | קְרִיאָה | מַטְלִית | עַל הָאַף
sunglasses | קַיִץ | קְרֶם הֲגָנָה | מַחְשִׁיכִים הַכֹּל
wristwatch | זְמַן | רְצוּעָה | קָטָן וּמְדֻיָּק
necklace | צַוָּאר | קֻפְסַת תַּכְשִׁיטִים | תְּלוּיָה וּמַבְרִיקָה
bracelet | יְדִידוּת | חֲרוּזִים | צִבְעוֹנִי וְקָטָן
ring | אֶצְבַּע | אֶבֶן קְטַנָּה | חֲלָקָה וּמַבְרִיקָה
earring | אֹזֶן | חוֹר קָטָן | נוֹצֵץ וְתָלוּי
pin | זְהִירוּת | דְּקִירָה | חַדָּה וּקְטַנָּה
ribbon | מַתָּנָה | קֶשֶׁר | דַּק וְצִבְעוֹנִי
hairband | אִסּוּף | שֵׂעָר | נִמְתַּחַת וְחוֹזֶרֶת
braid | שֵׂעָר אָרֹךְ | מַסְרֵק | שְׁלוֹשָׁה גְּדִילִים
ponytail | שֵׂעָר אָרֹךְ | מַרְאָה | אָסוּף לְאָחוֹר
bag | קְנִיּוֹת | כָּתֵף | גָּדוֹל וּמָלֵא
wallet | קְנִיָּה | שְׁטָרוֹת | קָטָן וּמִתְקַפֵּל
umbrella | הֲגָנָה | שְׁלוּלִית | נִפְתַּחַת וְנִסְגֶּרֶת
belt | מָתְנַיִם | חוֹרִים | אֲרֻכָּה וְסוֹגֶרֶת
buckle | סְגִירָה | קְלִיק | מַתֶּכֶת קְטַנָּה
tie | חֲגִיגָה | קֶשֶׁר | אֲרֻכָּה וּמְשֻׁלֶּשֶׁת
bowtie | קוֹנְצֶרְט | בָּמָה | קְטַנָּה וַחֲגִיגִית
button | חִבּוּר | לוּלָאָה | קָטָן וְעָגֹל
zipper | סְגִירָה | לְשׁוֹנִית | עוֹלֶה וְיוֹרֵד
pocket | מִטְבָּעוֹת | יָד | מַחְבּוֹא קָטָן
sleeve | זְרוֹעַ | מַרְפֵּק | מִתְקַפֵּל לְמַעְלָה
collar | קִפּוּל | גִּהוּץ | מַקִּיף לְמַעְלָה
seam | חִבּוּר | מִסְפָּרַיִם | חָזָק וְנִסְתָּר
thread | אֲרִיגָה | סְלִיל | דַּק וּמִסְתַּבֵּךְ
needle | תִּקּוּן | סְלִיל | דַּקָּה וּמְנֻקֶּבֶת
