# id | צמד מילים | דבר קשור | מאפיין
#
# pair    — מילה מופשטת שנקשרת מיד, ולא מאכל (אלה הרמזים)
# related — חפץ או מקום מקטגוריה אחרת שנמצא לְיָדוֹ
# trait   — תכונה אחת שמתאימה גם לעוד כמה מילים, ולא הגדרה של המילה
pizza | מִשְׁלוֹחַ | קֻפְסַת קַרְטוֹן | חוֹתְכִים לִמְנוֹת
pasta | אִיטַלְיָה | מַסְנֶנֶת | מִתְבַּשֵּׁל בְּמַיִם
lasagna | שְׁכָבוֹת | תַּבְנִית | חַמָּה מֵהַתַּנּוּר
hamburger | אָמֶרִיקָה | מַנְגָּל | אוֹחֲזִים בַּיָּדַיִם
schnitzel | יְלָדִים | מַחְבַּת | מְטֻגָּן וּמְצֻפֶּה
steak | חֲגִיגָה | סַכִּין מְשֻׁנֶּנֶת | הַיָּקָר בַּתַּפְרִיט
meatball | סַבְתָּא | סִיר | שׂוֹחָה בָּרֹטֶב
kebab | גַּחֲלִים | שִׁפּוּד | נִצְלֶה בַּחוּץ
hotdog | קִיּוֹסְק | מַגָּשׁ נְיָר | אָרֹךְ וְדַק
sausage | פִּיקְנִיק | קֶרֶשׁ | נֶחְתָּךְ לְעִגּוּלִים
pastrami | אֲרוּחַת עֶשֶׂר | קֻפְסָה קְטַנָּה | דַּק מְאֹד
chicken | שַׁבָּת | תַּנּוּר | מַסְפִּיק לְכֻלָּם
meat | מַנְגָּל | פֶּחָמִים | צָרִיךְ אֵשׁ
tuna | שִׁמּוּרִים | פּוֹתְחָן | מַגִּיעָה בְּקֻפְסָה
falafel | שׁוּק | דֻּכָן | מִתְגַּלְגֵּל וּמְטֻגָּן
shawarma | אֹכֶל רְחוֹב | דֻּכָן | נֶחְתָּךְ בְּדַקָּה
sabich | חֲצִילִים | דֻּכָן | דָּחוּס וּמָלֵא
sushi | יָפָן | מַקְלוֹת אֲכִילָה | נְגִיסָה אַחַת
rice | סִין | מַקְלוֹת אֲכִילָה | תּוֹפֵחַ בַּסִּיר
couscous | מָרוֹקוֹ | קְעָרָה גְּדוֹלָה | גַּרְגְּרִים קְטַנִּים
ptitim | גַּן | מַחְבַּת | אֹכֶל יְלָדִים
mashed | תִּינוֹקוֹת | מַזְלֵג | חָלָק וְרַךְ
chips | קִיּוֹסְק | מַחְבַּת שֶׁמֶן | מָלוּחַ וּפָרִיךְ
cholent | שַׁבָּת | פְּלַטָּה | מִתְבַּשֵּׁל לַיְלָה
soup | חֹרֶף | קְעָרָה | מְחַמֵּם מִבִּפְנִים
salad | בְּרִיאוּת | קֶרֶשׁ חִתּוּךְ | קָר וְקָצוּץ
hummus | שׁוּק | פִּיתָה טְרִיָּה | מוֹרְחִים בְּעִגּוּל
tahini | שֻׁמְשֹׁם | קַעֲרִית | נוֹזֵל לְאַט
shakshuka | עַגְבָנִיּוֹת | מַחְבַּת | אֲדֻמָּה וְחַמָּה
omelet | בֹּקֶר | מַחְבַּת | מוּכָנָה מִיָּד
egg | לוּל | קַרְטוֹן | נִשְׁבָּר בְּקַלּוּת
pashtida | סַבְתָּא | תַּבְנִית | חוֹתְכִים לִרְבָּעִים
quiche | אֵרוּחַ | תַּבְנִית עֲגֻלָּה | הַבָּצֵק מִלְּמַטָּה
burekas | שׁוּק | שַׂקִּית נְיָר | מַשְׁאִיר פֵּרוּרִים
