# id | צמד מילים | דבר קשור | מאפיין
#
# pair    — מילה מופשטת או פעולה, ולא מילה מאותה קטגוריה
# related — חפץ מקטגוריה אחרת שנמצא לְיָדוֹ
# trait   — תכונה אחת שמתאימה גם לעוד כמה מילים, ולא הגדרה
room | פְּרָטִיּוּת | דֶּלֶת סְגוּרָה | מוּאָר וְנָעִים
livingroom | אוֹרְחִים | פּוֹפְקוֹרְן | הַגָּדוֹל בַּבַּיִת
kitchen-room | בִּשּׁוּל | רֵיחַ אֹכֶל | חַם וְעָסוּק
balcony | אֲוִיר | חֶבֶל כְּבִיסָה | בַּחוּץ וּבַבַּיִת
wall | צִיּוּר | מַסְמֵר | יָשָׁר וְאָנָכִי
floor | נִקּוּי | סַנְדָּל | דּוֹרְכִים עָלֶיהָ
ceiling | גֹּבַהּ | סֻלָּם | מֵעַל הָרֹאשׁ
roof | תַּצְפִּית | אַנְטֶנָּה | הַגָּבוֹהַּ בַּבַּיִת
storage | סֵדֶר | קַרְטוֹנִים | מָלֵא וְנִשְׁכָּח
door | דְּפִיקָה | פַּעֲמוֹן | נִפְתַּחַת וְנִסְגֶּרֶת
window | אוֹר | תְּרִיס | שָׁקוּף לַחוּץ
stairs | עֲלִיָּה | מַעֲקֶה | עוֹלוֹת וְיוֹרְדוֹת
lock | בְּטִיחוּת | אוֹפַנַּיִם | נִסְגָּר בְּסִבּוּב
key | כְּנִיסָה | כִּיס | קָטָן וּמַתְכַּתִּי
sofa | אוֹרְחִים | סֶרֶט | רַכָּה וּרְחָבָה
armchair | קְרִיאָה | סֵפֶר | רַכָּה וּלְאֶחָד
chair | יְשִׁיבָה | יַלְקוּט | אַרְבַּע רַגְלַיִם
table | אֲרוּחָה | מַפָּה | שָׁטוּחַ וְגָבוֹהַּ
bed | לַיְלָה | פִּיגָ'מָה | רַכָּה וַאֲרֻכָּה
mattress | הוֹבָלָה | מִשְׁאִית | עָבֶה וְכָבֵד
pillow | רֹאשׁ | צִפִּית | רַכָּה וּמְרֻבַּעַת
