# id | צמד מילים | דבר קשור | מאפיין
#
# pair    — מילה מופשטת או פעולה, ולא מילה מאותה קטגוריה
# related — חפץ מקטגוריה אחרת שנמצא לְיָדוֹ
# trait   — תכונה אחת שמתאימה גם לעוד כמה מילים, ולא הגדרה
mountain | טִפּוּס | מַקְלוֹת הֲלִיכָה | תָּלוּל וְגָבוֹהַּ
summit | הֶשֵּׂג | דֶּגֶל | הַנְּקֻדָּה הָעֶלְיוֹנָה
hill | גְּלִישָׁה | אוֹפַנַּיִם | נוֹחַ לְטִפּוּס
slope | יְרִידָה | בְּלָמִים | מִדַּרְדְּרִים בּוֹ
valley | שָׂדוֹת | טְרַקְטוֹר | בֵּין הָרִים
plain | מֶרְחָב | טְרַקְטוֹר | בְּלִי עֲלִיּוֹת
wadi | טִיּוּל | נַעֲלֵי הֲלִיכָה | יָבֵשׁ בַּקַּיִץ
cliff | גֹּבַהּ | גָּדֵר בְּטִיחוּת | חָתוּךְ וְיָשָׁר
cave | מַחְבּוֹא | פָּנָס | חֲשׁוּכָה וְקָרָה
rock | כֹּבֶד | פַּטִּישׁ | כָּבֵד וְאֵיתָן
stone | זְרִיקָה | דְּלִי | נִכְנָס לַכִּיס
sand | בְּנִיָּה | אֵת | נִשְׁפָּךְ בָּאֶצְבָּעוֹת
soil | שְׁתִילָה | אֵת | מַכְתִּימָה יָדַיִם
mud | חֲלִיקָה | מַגָּפַיִם | דָּבִיק וּמְלֻכְלָךְ
dust | נִקּוּי | מַטְלִית | מִצְטַבֵּר בְּשֶׁקֶט
desert | גַּמָּל | קַנְקַן מַיִם | בְּלִי צֵל
forest | טִיּוּל | תַּרְמִיל | סָבוּךְ וְצָפוּף
grove | פִּיקְנִיק | מַפָּה | קְבוּצַת עֵצִים
pole | דֹּב לָבָן | מַפָּה | הַקָּצֶה הַקַּר
field | קָצִיר | טְרַקְטוֹר | פָּתוּח וּמְסֻדָּר
path | הֲלִיכָה | שֶׁלֶט סִימָנִים | צַר וּמְפֻתָּל
island | הַרְפַּתְקָה | סְפִינָה | מֻקָּף מַיִם
bay | עֹגֶן | סִירָה | מַיִם שְׁקֵטִים
sunbeam | חַלּוֹן | תְּרִיס | צַר וּמֵאִיר
