# id | צמד מילים | דבר קשור | מאפיין
#
# pair    — מילה מופשטת או פעולה, ולא מילה מאותה קטגוריה
# related — חפץ מקטגוריה אחרת שנמצא לְיָדוֹ
# trait   — תכונה אחת שמתאימה גם לעוד כמה מילים, ולא הגדרה
doctor | בְּרִיאוּת | חָלוּק לָבָן | מַקְשִׁיב לַלֵּב
dentist | פֶּה פָּתוּח | כִּסֵּא נוֹטֶה | מְבַקֵּשׁ לֹא לָזוּז
nurse | מַחְלָקָה | מַזְרֵק | מוֹדֶדֶת חֹם
paramedic | חֵרוּם | אַמְבּוּלַנְס | מַגִּיעַ רִאשׁוֹן
pharmacist | מַרְשָׁם | מַדָּפִים גְּבוֹהִים | מַסְבִּיר אֵיךְ לָקַחַת
vet | חַיּוֹת | כְּלוּב הוֹבָלָה | מְטַפֵּל בְּמִי שֶׁלֹּא מְדַבֵּר
psychologist | הַקְשָׁבָה | סַפָּה | שׁוֹאֵל אֵיךְ אַתָּה מַרְגִּישׁ
lifeguard | בְּרֵכָה | מִשְׁרוֹקִית | יוֹשֵׁב גָּבוֹהַּ וּמַשְׁקִיף
policeman | חֹק | נַיֶּדֶת | מַדִּים כְּחֻלִּים
firefighter | שְׂרֵפָה | צִנּוֹר | עוֹלֶה בַּסֻּלָּם
soldier | צָבָא | מַדִּים | שְׁלוֹשׁ שָׁנִים
guard | כְּנִיסָה | מַכְשִׁיר בְּדִיקָה | בּוֹדֵק תִּיקִים
detective | תַּעֲלוּמָה | זְכוּכִית מַגְדֶּלֶת | מְחַפֵּשׂ רְמָזִים
judge | מִשְׁפָּט | פַּטִּישׁ | מַחְלִיט מִי צוֹדֵק
lawyer | הֲגָנָה | תִּיק עָבֶה | מְדַבֵּר בִּשְׁבִיל אַחֵר
teacher | כִּתָּה | לוּח | בּוֹדֵק מַחְבָּרוֹת
kindergarten-teacher | מַעֲגָל בַּבֹּקֶר | גִּיטָרָה | שָׁרָה עִם הַקְּטַנִּים
coach | קְבוּצָה | מִשְׁרוֹקִית | צוֹעֵק מֵהַקַּו
librarian | סִפְרִיָּה | חוֹתֶמֶת | מְבַקֵּשׁ שֶׁקֶט
scientist | מַעְבָּדָה | מִיקְרוֹסְקוֹפּ | בּוֹדֵק שׁוּב וָשׁוּב
astronaut | חָלָל | חֲלִיפָה לְבָנָה | מְרַחֵף בְּלִי כֹּבֶד
carpenter | עֵץ | מַסּוֹר | רֵיחַ נְסֹרֶת
builder | פִּגּוּם | קַסְדָּה | עוֹבֵד בַּחוּץ בְּכָל חֹם
electrician | חַשְׁמַל | מַבְרֵג מְבוּדָּד | מְטַפֵּל בַּחוּטִים
plumber | נְזִילָה | מַפְתֵּחַ שְׁוֶדִי | קוֹרְאִים לוֹ כְּשֶׁמַּיִם דּוֹלְפִים
architect | תָּכְנִית | סַרְגֵּל | מְצַיֵּר לִפְנֵי שֶׁבּוֹנִים
engineer | חִשּׁוּב | שִׂרְטוּט | פּוֹתֵר בְּעָיוֹת
programmer | קוֹד | מִקְלֶדֶת | יוֹשֵׁב מוּל מָסָךְ
pilot | תָּא הַטַּיָּס | כּוֹבַע עִם כָּנָף | מוֹדִיעַ עַל הַגֹּבַהּ
