# id | צמד מילים | דבר קשור | מאפיין
#
# pair    — מילה מופשטת או מקום, ולא פרי/ירק/צמח (אלה הרמזים)
# related — חפץ מקטגוריה אחרת שנמצא לְיָדוֹ
# trait   — תכונה אחת שמתאימה גם לעוד כמה מילים, ולא הגדרה
orange | חֹרֶף | מַסְחֵטָה | מִתְחַלֵּק לִפְלָחִים
clementine | קַלּוּת | קְעָרָה עַל הַשֻּׁלְחָן | נִפְתָּח בְּיָד אַחַת
lemon | חֲמִיצוּת | מַסְחֵטָה | טִפָּה מַסְפִּיקָה
grapefruit | בֹּקֶר | כַּפִּית מְשֻׁנֶּנֶת | מָרִיר קְצָת
apple | בְּרִיאוּת | סַכִּין | פָּרִיךְ בַּנְּשִׁיכָה
pear | סַל פֵּרוֹת | מַגָּשׁ | רָחָב לְמַטָּה וְצַר לְמַעְלָה
loquat | אָבִיב | עֵץ בַּחָצֵר | נִגְמָר מַהֵר בָּעוֹנָה
banana | קוֹף | קֻפְסַת אֹכֶל | נִמְחָץ בַּיַּלְקוּט
grapes | קָצִיר | מִסְפָּרַיִם | אוֹכְלִים אֶחָד אֶחָד
raisins | עוּגָה | שַׂקִּית קְטַנָּה | הָיָה קֹדֶם עָסִיסִי
watermelon | קַיִץ | סַכִּין גְּדוֹלָה | הַכָּבֵד בַּסַּל
melon | קַיִץ | כַּפִּית | רֵיחַ מָתוֹק מֵרָחוֹק
strawberry | קְצִיפָה | סַלְסִלָּה | צוֹבֵעַ אֶת הָאֶצְבָּעוֹת
raspberry | יַעַר | סַלְסִלָּה | מִתְפּוֹרֵר מִיָּד
blueberry | פַּנְקֵיק | סַלְסִלָּה | קָטָן וּמְלַכְלֵךְ
cherry | קַיִץ | קְעָרָה | מַגִּיעַ בְּזוּגוֹת
plum | קַיִץ | סַכִּין | נוֹטֵף בַּנְּשִׁיכָה
apricot | רִבָּה | צִנְצֶנֶת | נִפְתָּח בַּיָּד לִשְׁנַיִם
peach | פְּלוּמָה | מִגְבּוֹן | מְגָרֵד קְצָת בַּיָּד
nectarine | קַיִץ | סַכִּין | חָלָק וְלֹא שָׂעִיר
mango | קַיִץ | כַּפִּית | דָּבִיק בַּיָּדַיִם
pineapple | הַוַאי | סַכִּין גְּדוֹלָה | דּוֹקֵר מִבַּחוּץ
papaya | חֻפְשָׁה | כַּפִּית | רַךְ מְאֹד
lychee | סִין | קַעֲרִית | קְלִפָּה שֶׁנִּתְלֶשֶׁת בְּקַלּוּת
kiwi | וִיטָמִין | כַּפִּית | חוֹתְכִים לִשְׁנַיִם וְאוֹכְלִים
coconut | אִי | פַּטִּישׁ | צָרִיךְ כֹּחַ לִפְתֹּח
pomegranate | רֹאשׁ הַשָּׁנָה | קְעָרָה | מָלֵא בְּהַרְבֵּה קְטַנִּים
fig | טוּ בִּשְׁבָט | עֵץ בַּחָצֵר | מָתוֹק מְאֹד
driedfig | טוּ בִּשְׁבָט | שַׂקִּית | הָיָה קֹדֶם רַךְ
date | מִדְבָּר | קַעֲרִית | דָּבִיק וּמָתוֹק
avocado | מִמְרָח | מַזְלֵג | נֶהְפָּךְ שָׁחֹר מַהֵר
persimmon | סְתָיו | סַכִּין | קָשֶׁה עַד שֶׁמַּבְשִׁיל
olive | שֻׁלְחָן | צִנְצֶנֶת | מָלוּח וְקָטָן
cucumber | סָלָט | קוּלְפָן | מַרְעִישׁ בַּנְּשִׁיכָה
pickle | חֲמִיצוּת | צִנְצֶנֶת | שׁוֹחֶה בְּמַיִם
tomato | סָלָט | קֶרֶשׁ | מַתִּיז כְּשֶׁחוֹתְכִים
pepper | סָלָט | קֶרֶשׁ | חָלוּל מִבִּפְנִים
eggplant | טְחִינָה | מַחְבַּת | סוֹפֵג שֶׁמֶן
zucchini | מִלּוּי | סִיר | טַעַם עָדִין
pumpkin | סְתָיו | מַצְקִית | הַגָּדוֹל בַּגִּנָּה
carrot | אַרְנָב | פּוּמְפִּיָּה | פָּרִיךְ וּמַתְקִיק
beet | סָלָט | כְּפָפוֹת | צוֹבֵעַ אֶת הַיָּדַיִם
radish | סָלָט | קֶרֶשׁ | חָרִיף קְצָת
turnip | מַרְק | סִיר | טַעַם עָדִין וְלָבָן
kohlrabi | נְשִׁיכָה | קוּלְפָן | פָּרִיךְ מְאֹד
potato | תַּנּוּר | קוּלְפָן | הַכֹּל אוֹהֲבִים אוֹתוֹ
sweet-potato | תַּנּוּר | נְיָר אֲפִיָּה | מַתְקִיק כְּשֶׁנֶּאֱפֶה
onion | דְּמָעוֹת | סַכִּין | שִׁכְבָה עַל שִׁכְבָה
leek | מַרְק | סַכִּין | אָרֹךְ וְעִם עָלִים
garlic | רֵיחַ | מַכְתֵּשׁ | קְצָת מַסְפִּיק לְהַרְבֵּה
ginger | תֵּה | פּוּמְפִּיָּה | חָרִיף וּמְחַמֵּם
dill | מַרְק | צִנְצֶנֶת | רֵיחָנִי וְדַק
basil | פִּיצָה | עָצִיץ | רֵיחַ חָזָק בַּיָּד
rosemary | תַּנּוּר | עָצִיץ | קָשֶׁה וְרֵיחָנִי
mint | קַיִץ | כּוֹס | קָרִיר בַּפֶּה
parsley | קִצּוּץ | סַכִּין | מְסֻלְסָל
coriander | טַעַם חָזָק | סַכִּין | יֵשׁ מִי שֶׁלֹּא סוֹבֵל אוֹתוֹ
celery | מַרְק | קֶרֶשׁ | קָשֶׁה וְחוּטִי
cabbage | סָלָט | סַכִּין גְּדוֹלָה | כָּבֵד וְעָגֹל
cauliflower | תַּנּוּר | תַּבְנִית | מִתְפָּרֵק לְחֶלְקִיקִים
broccoli | בְּרִיאוּת | סִיר קִיטוֹר | הוֹרִים אוֹהֲבִים יוֹתֵר
lettuce | כָּרִיךְ | קְעָרָה | עָלִים פְּרִיכִים
spinach | כֹּחַ | סִיר | מִתְכַּוֵּץ בַּבִּשּׁוּל
sprouts | כָּרִיךְ | קֻפְסָה | דַּקִּים וּמִסְתַּבְּכִים
peas | סִיר | מַקְפִּיא | קְטַנִּים וְעֲגֻלִּים
beans | תַּרְמִיל | סִיר | צְרִיכִים בִּשּׁוּל אָרֹךְ
lentils | מַרְק | סִיר | קְטַנּוֹת וּשְׁטוּחוֹת
corn | קוֹלְנוֹעַ | חֶמְאָה | נִשְׁאָר בֵּין הַשִּׁנַּיִם
mushroom | יַעַר | מַחְבַּת | כּוֹבַע עַל רֶגֶל
nut | טוּ בִּשְׁבָט | מַפְצֵחַ | צָרִיךְ לִפְתֹּח
walnut | טוּ בִּשְׁבָט | מַפְצֵחַ | קְלִפָּה קָשָׁה מְאֹד
almond | עוּגָה | קַעֲרִית | חָלָק וַאֲרַכְרַךְ
peanut | קִיּוֹסְק | שַׂקִּית | גָּדֵל מִתַּחַת לָאֲדָמָה
