# id | צמד מילים | דבר קשור | מאפיין
#
# pair    — מילה מופשטת או פעולה, ולא מילה מאותה קטגוריה
# related — חפץ מקטגוריה אחרת שנמצא לְיָדוֹ
# trait   — תכונה אחת שמתאימה גם לעוד כמה מילים, ולא הגדרה
classroom | לְמִידָה | שֻׁלְחָנוֹת בְּשׁוּרוֹת | מָקוֹם קָבוּעַ
blackboard | הַסְבֵּר | סְמַרְטוּט רָטֹב | גָּדוֹל וְתָלוּי
chalk | אָבָק לָבָן | יָדַיִם מְלֻכְלָכוֹת | מִתְפּוֹרֵר בַּיָּד
marker | סִימוּן | רֵיחַ חָזָק | מִתְיַבֵּשׁ מַהֵר
pencil | טָעוּת | קְלִפּוֹת עֵץ | נִשְׁבָּר בְּקַלּוּת
pen | סוֹפִיּוּת | כֶּתֶם בַּכִּיס | לֹא נִמְחָק
ink | כֶּתֶם | אֶצְבָּעוֹת כְּחֻלּוֹת | נִסְפָּג וּמִתְפַּשֵּׁט
eraser | תִּקּוּן | פֵּרוּרִים | מִתְקַצֵּר בַּשִּׁמּוּשׁ
sharpener | חִדּוּד | קְלִפּוֹת | מְסַבְּבִים בּוֹ
pencilcase | סֵדֶר | רוֹכְסָן | מָלֵא וְקָטָן
ruler | קַו יָשָׁר | סֶנְטִימֶטְרִים | אָרֹךְ וְשָׁטוּח
compass | עִגּוּל | חֻד מְחֻדָּד | מִסְתּוֹבֵב בְּעִגּוּל
notebook | סִיכּוּם | תִּיק | דַּפִּים מְחֻבָּרִים
page | קִפּוּל | מַדְפֶּסֶת | דַּק וְלָבָן
textbook | פֶּרֶק | כֹּבֶד בַּתִּיק | עָבֶה מִדַּי
atlas | מְדִינוֹת | מַפּוֹת | גָּדוֹל וְכָבֵד
globe | סִבּוּב | חֶדֶר מַדָּעִים | עָגֹל וּמִסְתּוֹבֵב
schoolbag | בֹּקֶר | רְצוּעוֹת | כָּבֵד לַגַּב
backpack | הַרְפַּתְקָה | נַעֲלֵי הֲלִיכָה | גָּדוֹל וְנִשָּׂא
calculator | מַהֵר | כַּפְתּוֹרִים | עוֹשֶׂה בִּמְקוֹמְךָ
sticker | פְּרָס קָטָן | אַלְבּוֹם | מַדְבִּיקִים וְאוֹסְפִים
student | לְמִידָה | תִּיק | לוֹמֵד וּמְשַׂחֵק
principal | הַחְלָטָה | חֶדֶר גָּדוֹל | הָאַחֲרוֹן שֶׁמַּחְלִיט
secretariat | פְּנִיָּה | טֶלֶפוֹן | שָׁם פּוֹנִים
teachersroom | מְבֻגָּרִים | קָפֶה | אָסוּר לִתְלַמִידִים
lesson | אַרְבָּעִים וְחָמֵשׁ | שָׁעוֹן | מוּגְבָּל בִּזְמַן
break | כְּרִיךְ | כַּדּוּר | קָצָר וְרַעֲשָׁן
school-bell | קוֹל | שָׁעוֹן | מְחַכִּים לוֹ
homework | אַחֲרֵי הַצָּהֳרַיִם | שֻׁלְחָן בַּבַּיִת | תָּמִיד לְמָחָר
exam | שֶׁקֶט מֻחְלָט | שֻׁלְחָנוֹת רְחוֹקִים | מִתְכּוֹנְנִים מֵרֹאשׁ
quiz | הַפְתָּעָה | דַּף אֶחָד | קָצָר וּפִתְאוֹמִי
grade | הַעֲרָכָה | עֵט אָדֹם | מִסְפָּר בַּמַּחְבֶּרֶת
certificate | סוֹף שָׁנָה | הוֹרִים | מְסַכֶּמֶת הַכֹּל
yard | רִיצָה | סַפְסָלִים | פְּתוּחָה וּרְחָבָה
court | כַּדּוּרְסַל | קַוִּים לְבָנִים | שָׁטוּח וּמְסֻמָּן
school-trip | אוֹטוֹבּוּס | כַּרְטִיס | יוֹם מְיֻחָד
math | תַּרְגִּיל | לוּח וְגִיר | מִסְפָּרִים וְסִימָנִים
arithmetic | לוּח הַכֶּפֶל | אֶצְבָּעוֹת | חִבּוּר וְחִסּוּר
science | לָמָּה | מַעְבָּדָה | מַסְבִּיר תּוֹפָעוֹת
experiment | הַשְׁעָרָה | מַבְחֵנָה | מְנַסִּים וְרוֹאִים
history | פַּעַם | צִיר זְמַן | עוֹסֵק בֶּעָבָר
geography | מָקוֹם | מַפָּה | הָרִים וּנְהָרוֹת
bible | סִפּוּרִים עַתִּיקִים | בֵּית כְּנֶסֶת | הַסֵּפֶר הֶעָתִיק
literature | סִפּוּר | סִימָנִיָּה | דְּמוּיוֹת וַעֲלִילָה
grammar | חֻקֵּי הַשָּׂפָה | מִלּוֹן | מְדֻיָּק וְיָבֵשׁ
hebrew | הַשָּׂפָה שֶׁלָּנוּ | נִקּוּד | מִיָּמִין לִשְׂמֹאל
english | שָׂפָה זָרָה | מִלּוֹן | מִשְּׂמֹאל לְיָמִין
arabic | שָׂפָה שְׁכֵנָה | אוֹתִיּוֹת אֲחֵרוֹת | נִלְמֶדֶת מְאֻחָר
reading | סֵפֶר | סִימָנִיָּה | שְׁקֵטָה בְּעִקָּר
writing | מִלִּים | שֻׁלְחָן | דּוֹרֵשׁ סַבְלָנוּת
art | יְצִירָה | סִינָּר | מְלַכְלֵךְ וְכֵיפִי
music-class | שִׁיר | אוּלָם | נִשְׁמָע מֵרָחוֹק
pe | הַזָּעָה | מִשְׁרוֹקִית | מַחֲלִיפִים בְּגָדִים
drawing | דִּמְיוֹן | מַגְנֵט בַּמְּקָרֵר | נִשְׁמָר בַּבַּיִת
paintbrush | צֶבַע | כּוֹס מַיִם | זִיפִים רַכִּים
glue | חִבּוּר | יָדַיִם דְּבִיקוֹת | מִתְיַבֵּשׁ וּמַחֲזִיק
scissors | גְּזִירָה | זְהִירוּת | שְׁנֵי לְהָבִים
paper | קִפּוּל | פַּח מִלְמַטָּה | דַּק וּמִתְקַמֵּט
cardboard | קֻפְסָה | סַכִּין | עָבֶה וְחָזָק
bristol | פּוֹסְטֶר | קִיר הַכִּתָּה | גָּדוֹל וְנוֹקְשֶׁה
plasticine | פִּסּוּל | יָדַיִם צִבְעוֹנִיּוֹת | רַךְ וּמִתְעַצֵּב
beads | שַׁרְשֶׁרֶת | חוּט | מִתְפַּזְּרִים בְּקַלּוּת
glitter | קִשּׁוּט | נִצְנוּץ | נִדְבָּק לַכֹּל
exhibition | סוֹף שָׁנָה | הוֹרִים | כֻּלָּם מִסְתַּכְּלִים
club | אַחֲרֵי הַלִּמּוּדִים | מַדְרִיךְ | פַּעַם בְּשָׁבוּעַ
dance | קֶצֶב | נַעֲלֵי בָּלֶט | הַגּוּף זָז
singing | קוֹל | מִקְלַחַת | עוֹשִׂים בַּפֶּה
choral | קוֹלוֹת רַבִּים | שׁוּרוֹת | דּוֹרֵשׁ הַקְשָׁבָה
play | תַּסְרִיט | קָהָל | חוֹזְרִים עָלֶיהָ
stagecostume | הוֹפָעָה | חַדְרֵי הַלְבָּשָׁה | רַק לַבָּמָה
stage | קָהָל | זַרְקוֹר | גְּבוֹהָה וּמוּאֶרֶת
