@category ספורט ומשחקים

# ── משחקי כדור ───────────────────────────────────────────────────────────────
soccer | כדורגל | basketball | volleyball | goal | dodgeball | tennis
basketball | כדורסל | soccer | volleyball | hoop | dodgeball | tennis
volleyball | כדורעף | basketball | soccer | net | dodgeball | tennis
handball | כדור יד | dodgeball | goal | tennis | badminton | baseball
dodgeball | מַחֲנַיִם | handball | tag | tennis | badminton | baseball
tennis | טניס | badminton | racket | net | ball | dodgeball
pingpong | טניס שלחן | badminton | racket | net | ball | dodgeball
badminton | בדמינטון | tennis | racket | net | ball | baseball
baseball | ביסבול | soccer | basketball | golf | racket | badminton
golf | גולף | baseball | tennis | ball | hoop | contest
rugby | רגבי | soccer | wrestling | goal | hockey | baseball
hockey | הוקי | soccer | skating | net | goal | rugby
ball | כדור | goal | net | racket | hockey | rugby
racket | מחבט | ball | net | tennis | badminton | hockey
net | רשת | ball | goal | racket | tennis | goalkeeper
goal | גול | goalkeeper | net | ball | kick | racket
goalkeeper | שוער | goal | net | ball | kick | pass
kick | בְּעִיטָה | pass | jump | ball | goal | goalkeeper
pass | מְסִירָה | kick | ball | jump | goalkeeper | swimming
jump | קְפִיצָה | kick | pass | trampoline | hoop | climbing

# ── במים ─────────────────────────────────────────────────────────────────────
swimming | שחיה | diving | surfing | sailing | rowing | ball
diving | צלילה | swimming | surfing | sailing | rowing | jump
surfing | גלישה | swimming | diving | sailing | skateboard | snowboard
sailing | שיט | rowing | surfing | swimming | diving | contest
rowing | חתירה | sailing | swimming | surfing | diving | training

# ── ריצה והתעמלות ────────────────────────────────────────────────────────────
running | ריצה | walking | marathon | athletics | jump | training
walking | הליכה | running | marathon | climbing | training | athletics
marathon | מרתון | running | walking | athletics | record | contest
athletics | אתלטיקה | running | jump | marathon | gymnastics | contest
gymnastics | התעמלות | athletics | yoga | trampoline | stretches | hoop
yoga | יוגה | gymnastics | stretches | warmup | training | walking
stretches | מְתִיחוֹת | warmup | yoga | gymnastics | pushups | training
warmup | חִמּוּם | stretches | training | pushups | situps | running
pushups | שְׁכִיבוֹת סְמִיכָה | situps | weights | warmup | stretches | training
situps | כְּפִיפוֹת בֶּטֶן | pushups | weights | warmup | stretches | training
weights | משקולות | pushups | situps | training | gymnastics | warmup
training | אמון | warmup | team | contest | stretches | running

# ── קרב ──────────────────────────────────────────────────────────────────────
boxing | אגרוף | wrestling | karate | judo | kravmaga | fencing
wrestling | האבקות | boxing | judo | karate | kravmaga | fencing
judo | ג'ודו | karate | wrestling | kravmaga | boxing | fencing
karate | קרטה | judo | kravmaga | wrestling | boxing | fencing
kravmaga | קרב מגע | karate | judo | boxing | wrestling | fencing
fencing | סיף | boxing | karate | archery | judo | wrestling
